Latitude (decimal degrees):	44.031
Longitude (decimal degrees):	20.880
Elevation (m):	226
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.3,1.03,0.0
20050101:0110,0.0,0.0,-0.1,1.1,0.0
20050101:0210,0.0,0.0,0.08,0.97,0.0
20050101:0310,0.0,0.0,-0.28,1.03,0.0
20050101:0410,0.0,0.0,-0.2,0.97,0.0
20050101:0510,0.0,0.0,-0.14,1.03,0.0
20050101:0610,0.0,0.0,-0.02,0.97,0.0
20050101:0710,25.0,7.61,0.06,0.69,0.0
20050101:0810,28.0,14.73,1.02,0.55,0.0
20050101:0910,125.0,19.9,2.43,0.97,0.0
20050101:1010,43.0,22.62,3.08,1.1,0.0
20050101:1110,61.0,22.59,3.54,1.1,0.0
20050101:1210,62.0,19.82,4.16,1.24,0.0
20050101:1310,52.0,14.62,4.33,1.31,0.0
20050101:1410,64.0,7.46,4.36,0.83,0.0
20050101:1510,0.0,-1.14,4.06,0.55,0.0
20050101:1610,0.0,0.0,3.82,0.34,0.0
20050101:1710,0.0,0.0,3.5,0.14,0.0
20050101:1810,0.0,0.0,2.49,0.76,0.0
20050101:1910,0.0,0.0,2.88,1.59,0.0
20050101:2010,0.0,0.0,2.94,1.72,0.0
20050101:2110,0.0,0.0,2.87,1.86,0.0
20050101:2210,0.0,0.0,2.75,1.93,0.0
20050101:2310,0.0,0.0,2.78,1.86,0.0
20050102:0010,0.0,0.0,2.9,1.79,0.0
20050102:0110,0.0,0.0,2.96,1.66,0.0
20050102:0210,0.0,0.0,3.05,1.72,0.0
20050102:0310,0.0,0.0,3.14,1.66,0.0
20050102:0410,0.0,0.0,3.16,1.52,0.0
20050102:0510,0.0,0.0,3.06,1.38,0.0
20050102:0610,0.0,0.0,3.2,1.38,0.0
20050102:0710,18.0,7.62,3.64,1.72,0.0
20050102:0810,59.0,14.76,4.16,1.52,0.0
20050102:0910,288.01,19.95,4.96,1.31,0.0
20050102:1010,359.01,22.7,6.64,2.07,0.0
20050102:1110,377.01,22.69,7.49,2.76,0.0
20050102:1210,218.0,19.93,8.1,2.41,0.0
20050102:1310,159.0,14.74,8.33,1.59,0.0
20050102:1410,139.01,7.59,8.02,1.31,0.0
20050102:1510,0.0,-1.01,6.65,1.66,0.0
20050102:1610,0.0,0.0,4.51,1.66,0.0
20050102:1710,0.0,0.0,2.56,1.72,0.0
20050102:1810,0.0,0.0,1.97,1.52,0.0
20050102:1910,0.0,0.0,0.81,1.59,0.0
20050102:2010,0.0,0.0,0.05,1.59,0.0
20050102:2110,0.0,0.0,-0.02,1.52,0.0
20050102:2210,0.0,0.0,-0.35,1.52,0.0
20050102:2310,0.0,0.0,-0.31,1.45,0.0
20050103:0010,0.0,0.0,-0.28,1.66,0.0
20050103:0110,0.0,0.0,1.29,2.07,0.0
20050103:0210,0.0,0.0,2.43,2.41,0.0
20050103:0310,0.0,0.0,2.68,2.76,0.0
20050103:0410,0.0,0.0,2.51,2.83,0.0
20050103:0510,0.0,0.0,2.51,3.03,0.0
20050103:0610,0.0,0.0,2.59,3.59,0.0
20050103:0710,5.0,7.64,2.84,3.79,0.0
20050103:0810,119.0,14.8,3.12,3.03,0.0
20050103:0910,122.0,20.01,3.88,3.72,0.0
20050103:1010,166.0,22.78,4.62,4.21,0.0
20050103:1110,376.01,22.79,4.97,4.69,0.0
20050103:1210,170.0,20.05,5.08,4.9,0.0
20050103:1310,56.0,14.87,5.01,4.76,0.0
20050103:1410,34.0,7.73,4.33,3.72,0.0
20050103:1510,0.0,-0.87,3.51,2.83,0.0
20050103:1610,0.0,0.0,2.79,2.34,0.0
20050103:1710,0.0,0.0,1.8,2.41,0.0
20050103:1810,0.0,0.0,1.19,2.28,0.0
20050103:1910,0.0,0.0,0.96,2.0,0.0
20050103:2010,0.0,0.0,-0.3,1.93,0.0
20050103:2110,0.0,0.0,-1.26,1.86,0.0
20050103:2210,0.0,0.0,-1.22,2.0,0.0
20050103:2310,0.0,0.0,-0.58,1.93,0.0
20050104:0010,0.0,0.0,0.15,2.14,0.0
20050104:0110,0.0,0.0,0.89,2.34,0.0
20050104:0210,0.0,0.0,1.32,2.76,0.0
20050104:0310,0.0,0.0,1.55,3.03,0.0
20050104:0410,0.0,0.0,1.72,2.76,0.0
20050104:0510,0.0,0.0,1.84,2.55,0.0
20050104:0610,0.0,0.0,2.18,2.41,0.0
20050104:0710,37.0,7.67,0.92,1.66,0.0
20050104:0810,79.0,14.85,2.33,1.45,0.0
20050104:0910,61.0,20.08,3.86,1.52,0.0
20050104:1010,127.0,22.87,5.44,2.0,0.0
20050104:1110,103.0,22.9,5.9,2.41,0.0
20050104:1210,232.0,20.18,5.79,2.76,0.0
20050104:1310,53.0,15.0,5.58,2.9,0.0
20050104:1410,29.0,7.87,5.52,3.38,0.0
20050104:1510,0.0,-0.73,5.05,3.66,0.0
20050104:1610,0.0,0.0,4.26,3.66,0.0
20050104:1710,0.0,0.0,3.85,3.66,0.0
20050104:1810,0.0,0.0,3.63,3.66,0.0
20050104:1910,0.0,0.0,4.33,2.21,0.0
20050104:2010,0.0,0.0,4.27,2.0,0.0
20050104:2110,0.0,0.0,4.28,1.93,0.0
20050104:2210,0.0,0.0,4.12,2.0,0.0
20050104:2310,0.0,0.0,4.25,2.07,0.0
20050105:0010,0.0,0.0,3.53,2.14,0.0
20050105:0110,0.0,0.0,2.77,2.21,0.0
20050105:0210,0.0,0.0,2.1,2.28,0.0
20050105:0310,0.0,0.0,1.51,2.14,0.0
20050105:0410,0.0,0.0,0.22,1.79,0.0
20050105:0510,0.0,0.0,-1.13,1.86,0.0
20050105:0610,0.0,0.0,-1.96,1.79,0.0
20050105:0710,61.0,7.7,-1.15,1.72,0.0
20050105:0810,208.01,14.9,2.28,1.38,0.0
20050105:0910,318.01,20.15,6.42,1.38,0.0
20050105:1010,399.02,22.97,9.21,1.24,0.0
20050105:1110,398.01,23.02,11.23,1.17,0.0
20050105:1210,366.01,20.31,12.27,1.17,0.0
20050105:1310,273.01,15.15,12.47,0.97,0.0
20050105:1410,159.01,8.01,11.65,1.1,0.0
20050105:1510,0.0,-0.58,9.2,1.79,0.0
20050105:1610,0.0,0.0,5.88,1.93,0.0
20050105:1710,0.0,0.0,4.21,1.72,0.0
20050105:1810,0.0,0.0,4.01,1.45,0.0
20050105:1910,0.0,0.0,3.92,1.52,0.0
20050105:2010,0.0,0.0,1.19,1.79,0.0
20050105:2110,0.0,0.0,-0.12,1.72,0.0
20050105:2210,0.0,0.0,-0.86,1.59,0.0
20050105:2310,0.0,0.0,-1.3,1.45,0.0
20050106:0010,0.0,0.0,-1.46,1.31,0.0
20050106:0110,0.0,0.0,-1.4,1.17,0.0
20050106:0210,0.0,0.0,-1.36,1.1,0.0
20050106:0310,0.0,0.0,-1.67,1.1,0.0
20050106:0410,0.0,0.0,-1.99,1.1,0.0
20050106:0510,0.0,0.0,-2.43,1.31,0.0
20050106:0610,0.0,0.0,-2.72,1.45,0.0
20050106:0710,33.0,7.74,-2.52,1.59,0.0
20050106:0810,184.01,14.96,1.32,1.24,0.0
20050106:0910,259.01,20.23,4.36,1.24,0.0
20050106:1010,380.01,23.07,6.65,1.31,0.0
20050106:1110,400.01,23.15,7.99,1.24,0.0
20050106:1210,119.0,20.45,8.6,1.03,0.0
20050106:1310,125.0,15.29,8.26,1.72,0.0
20050106:1410,73.0,8.16,7.39,2.28,0.0
20050106:1510,0.0,-0.43,6.24,3.03,0.0
20050106:1610,0.0,0.0,5.22,2.62,0.0
20050106:1710,0.0,0.0,4.57,2.41,0.0
20050106:1810,0.0,0.0,4.58,2.69,0.0
20050106:1910,0.0,0.0,4.1,2.55,0.0
20050106:2010,0.0,0.0,4.21,3.17,0.0
20050106:2110,0.0,0.0,4.69,3.79,0.0
20050106:2210,0.0,0.0,4.32,3.79,0.0
20050106:2310,0.0,0.0,3.84,3.93,0.0
20050107:0010,0.0,0.0,3.54,4.14,0.0
20050107:0110,0.0,0.0,3.29,4.07,0.0
20050107:0210,0.0,0.0,2.86,3.93,0.0
20050107:0310,0.0,0.0,2.57,3.72,0.0
20050107:0410,0.0,0.0,2.36,3.52,0.0
20050107:0510,0.0,0.0,2.09,3.31,0.0
20050107:0610,0.0,0.0,1.77,2.76,0.0
20050107:0710,45.0,7.78,1.69,1.86,0.0
20050107:0810,177.01,15.02,2.76,1.72,0.0
20050107:0910,318.01,20.32,4.18,2.34,0.0
20050107:1010,379.01,23.18,5.54,3.1,0.0
20050107:1110,402.01,23.28,6.29,3.03,0.0
20050107:1210,327.01,20.6,6.95,3.03,0.0
20050107:1310,236.01,15.45,7.21,2.62,0.0
20050107:1410,150.01,8.32,6.95,1.86,0.0
20050107:1510,0.0,-0.28,5.73,1.45,0.0
20050107:1610,0.0,0.0,4.26,1.1,0.0
20050107:1710,0.0,0.0,2.97,1.24,0.0
20050107:1810,0.0,0.0,1.66,1.45,0.0
20050107:1910,0.0,0.0,1.26,1.45,0.0
20050107:2010,0.0,0.0,0.21,1.45,0.0
20050107:2110,0.0,0.0,-0.7,1.45,0.0
20050107:2210,0.0,0.0,-1.4,1.52,0.0
20050107:2310,0.0,0.0,-1.73,1.59,0.0
20050108:0010,0.0,0.0,-2.0,1.59,0.0
20050108:0110,0.0,0.0,-2.12,1.59,0.0
20050108:0210,0.0,0.0,-2.21,1.72,0.0
20050108:0310,0.0,0.0,-2.19,1.79,0.0
20050108:0410,0.0,0.0,-2.14,1.86,0.0
20050108:0510,0.0,0.0,-2.1,1.86,0.0
20050108:0610,0.0,0.0,-2.23,1.86,0.0
20050108:0710,57.0,7.83,-1.42,1.79,0.0
20050108:0810,209.01,15.09,2.1,1.59,0.0
20050108:0910,313.01,20.42,5.36,1.52,0.0
20050108:1010,389.01,23.3,8.12,1.45,0.0
20050108:1110,404.01,23.42,10.19,1.45,0.0
20050108:1210,367.01,20.75,11.6,1.38,0.0
20050108:1310,284.01,15.61,12.16,1.24,0.0
20050108:1410,162.01,8.48,11.58,1.31,0.0
20050108:1510,0.0,-0.11,9.56,1.66,0.0
20050108:1610,0.0,0.0,6.36,1.79,0.0
20050108:1710,0.0,0.0,3.89,1.93,0.0
20050108:1810,0.0,0.0,2.05,1.93,0.0
20050108:1910,0.0,0.0,0.79,1.93,0.0
20050108:2010,0.0,0.0,-0.12,1.93,0.0
20050108:2110,0.0,0.0,-0.8,1.93,0.0
20050108:2210,0.0,0.0,-1.29,1.86,0.0
20050108:2310,0.0,0.0,-1.72,1.79,0.0
20050109:0010,0.0,0.0,-2.05,1.72,0.0
20050109:0110,0.0,0.0,-2.28,1.72,0.0
20050109:0210,0.0,0.0,-2.3,1.52,0.0
20050109:0310,0.0,0.0,-2.56,1.59,0.0
20050109:0410,0.0,0.0,-2.71,1.66,0.0
20050109:0510,0.0,0.0,-2.79,1.72,0.0
20050109:0610,0.0,0.0,-2.69,1.66,0.0
20050109:0710,65.0,7.89,-1.97,1.45,0.0
20050109:0810,202.01,15.17,1.78,0.97,0.0
20050109:0910,319.01,20.52,5.23,0.69,0.0
20050109:1010,382.01,23.43,7.68,0.48,0.0
